pmid,cid,chem,outcome
21430912,2912,cypermethrin,"Reproductive, Developmental"
34688002,86132,cyproconazole,Metabolic
35014926,5281708,daidzein,Cancer
35932513,5281708,daidzein,Reproductive
35681752,14410,Decabromodiphenyl ether (BDE-209),"Thyroid, Tumors"
32559636,14410,Decabromodiphenyl ether (BDE-209),Reproductive
34601176,35733,dechlorane 602 (Dec-602),Thyroid
32556108,26111,Dechlorane Plus,Metabolic
34601176,26111,dechlorane plus,Thyroid
752632,16078,Delta-9-tetrahydrocannabinol,Cognitive-Behavioral
35434465,40585,deltamethrin,Metabolic
35588983,40024,Deoxynivalenol,"Cell damage, Reproductive"
33823904,8343,Di (2-ethylhexyl) phthalate,Cancer
34697989,8343,di (2-ethylhexyl) phthalate,Cell damage
35818324,8343,di (2-ethylhexyl) phthalate,"Cognitive-Behavioral, Neurological"
36174712,8343,Di (2-ethylhexyl) phthalate,Genetic
34864161,8343,di (2-ethylhexyl) phthalate,Genetic
34906593,8343,di (2-ethylhexyl) phthalate,Metabolic
33754040,8343,Di (2-ethylhexyl) phthalate,Reproductive
31931345,8343,di (2-ethylhexyl) phthalate,Reproductive
34478338,405281127,di (carboxyisooctyl) phthalate,Genetic
34488563,3026,Di--butyl phthalate,Neurological
32292708,3026,di--butyl phthalate,"Neurological, Cognitive-Behavioral"
33297156,8343,di (2-ethylhexyl) phthalate,Cognitive-Behavioral
35141451,8343,Di-(2-ethylhexyl) phthalate,"Adrenal, Genetic"
35663974,8343,Di-(2-ethylhexyl) Phthalate,Respiratory
34208283,8343,di-(2-ethylhexyl) phthalate,Cancer
35818422,8343,Di-(2-ethylhexyl) phthalate,"Cancer, Inflammation"
35716406,8343,di-(2-ethylhexyl) phthalate,Cardio-vascular
33091774,8343,Di-(2-ethylhexyl) phthalate,Cell damage
36104651,8343,Di-(2-ethylhexyl) phthalate,Cell damage
35254616,8343,di-(2-ethylhexyl) phthalate,Cognitive-Behavioral
35730944,8343,di-(2-ethylhexyl) phthalate,Dental
34564366,8343,Di-(2-ethylhexyl) Phthalate,Digestive
34954075,8343,Di-(2-ethylhexyl) phthalate,"Genetic, Reproductive"
32628958,8343,di-(2-ethylhexyl) phthalate,Hepatic
36438553,8343,Di-(2-ethylhexyl) phthalate,Hepatic
34438493,8343,di-(2-ethylhexyl) phthalate,Metabolic
36012094,8343,Di-(2-ethylhexyl) Phthalate,Metabolic
34624416,8343,di-(2-ethylhexyl) phthalate,Neurological
35905844,8343,Di-(2-ethylhexyl) phthalate,Reproductive
22076161,8343,Di-(2-ethylhexyl) phthalate,Reproductive
36174316,8343,di-(2-ethylhexyl) phthalate,Reproductive
32030592,8343,di-(2-ethylhexyl) phthalate,Reproductive
33665894,8343,Di-(2-ethylhexyl) phthalate,Reproductive
35196152,8343,di-(2-ethylhexyl) phthalate,Reproductive
34537068,8343,di-(2-ethylhexyl) phthalate,Reproductive
33360214,8343,Di-(2-ethylhexyl) phthalate,Reproductive
32589889,8343,Di-(2-ethylhexyl) phthalate,Reproductive
32588312,8343,di-(2-ethylhexyl) phthalate,Reproductive
34768887,8343,Di-(2-ethylhexyl) phthalate,Reproductive
30939196,8343,di-(2-ethylhexyl) phthalate,Reproductive
32411914,8343,Di-(2-ethylhexyl) Phthalate,Reproductive
32619501,8343,di-(2-ethylhexyl) phthalate,Reproductive
33628236,8343,Di-(2-ethylhexyl) phthalate,Reproductive
34400143,8343,Di-(2-ethylhexyl) phthalate,"Reproductive, Cell damage"
32533902,8343,di-(2-ethylhexyl) phthalate,"Reproductive, Immune"
36044193,8343,di-(2-ethylhexyl) phthalate,"Reproductive, Thyroid"
32884073,8343,di-(2-ethylhexyl) phthalate,Respiratory
35228410,8343,Di-(2-ethylhexyl) phthalate,Thyroid
36375056,8343,di-(2-ethylhexyl) phthalate,Tumors
34245761,8343,di-(2-ethylhexyl)-phthalate,"Cognitive-Behavioral, Neurological"
34600010,8343,di-(2-ethylhexyl)-phthalate,Metabolic
32678732,11524680,"di-(iso-nonyl)-cyclohexane-1,2-dicarboxylate",Reproductive
32220816,8343,Di-(2-ethylhexyl) phthalate,Cardio-vascular
34478338,8343,Di-(2-ethylhexyl) phthalate,Genetic
34478338,91173705,di-2-ethyl-5-oxohexyl phthalate,Genetic
35688051,8343,Di-2-ethyl-hexyl phthalate,Cancer
32679391,8343,di-2-ethylhexyl phthalate,Conitive-Behavioral
34082531,8343,di-2-ethylhexyl phthalate,Cancer
33640497,8343,di-2-ethylhexyl phthalate,Cognitive-Behavioral
33573264,8343,di-2-ethylhexyl phthalate,Cognitive-Behavioral
33789034,8343,Di-2-ethylhexyl phthalate,"Genetic, Thyroid"
34628254,8343,di-2-ethylhexyl phthalate,Metabolic
32233978,8343,di-2-ethylhexyl phthalate,Metabolic
32633424,8343,di-2-ethylhexyl phthalate,Neurological
35797467,8343,Di-2-ethylhexyl phthalate,Reproductive
35550907,8343,di-2-ethylhexyl phthalate,Reproductive
33493905,8343,Di-2-ethylhexyl phthalate,Reproductive
32235866,8343,di-2-ethylhexyl phthalate,Reproductive
34058317,8343,Di-2-ethylhexyl phthalate,Reproductive
34728246,8343,Di-2-ethylhexyl phthalate,Reproductive
31996892,8343,di-2-ethylhexyl phthalate,Reproductive
32360183,8343,di-2-ethylhexyl phthalate,Reproductive
36060982,8343,di-2-ethylhexyl phthalate,Reproductive
32612006,8343,di-2-ethylhexyl phthalate,Thyroid
33493905,22932,di-2-ethylhexyl terephthalate,Reproductive
33610054,8343,di-2-ethylhexylphthalate,Developmental
34475495,92344,di-2-propylheptyl phthalate,Respiratory
36041600,8343,di-2ethylhexyl phthalate,Pregnancy
32380128,53435015,mono-3-carboxypropyl phthalate,Reproductive
33754148,53435015,mono-3-carboxypropyl phthalate,Skeletal
33152652,220773,di-benzyl phthalate,Metabolic
34208324,6781,Di-Ethyl Phthalate,Developmental
32997969,6782,di-iso-butyl phthalate,Conitive-Behavioral
34475495,33599,di-iso-decyl phthalate,Respiratory
34358912,590836,di-isononyl phthalate,Thyroid
33754148,6782,di-isobutyl phthalate,Skeletal
34426375,33599,Di-isodecyl Phthalate,Thyroid
34453847,590836,Di-Isononyl Phthalate,"Immune, Genetic"
33223173,590836,di-isononyl phthalate,Metabolic
36220473,7881,di-n-butyl phosphate,Developmental
32679391,7881,di-n-butyl phthalate,Conitive-Behavioral
32997969,7881,di-n-butyl phthalate,Conitive-Behavioral
26903627,7881,di-n-butyl phthalate,Cell damage
34628254,7881,di-n-butyl phthalate,Metabolic
32810643,7881,Di-n-butyl phthalate,Metabolic
34906593,7881,di-n-butyl phthalate,Metabolic
